,"Fluorescence-enhanced optical tomography on large phantoms using dual point illumination geometry"
,"Fluorescence-enhanced optical tomography: Absorption and lifetime contrast studies"
,"Fluorescence-enhanced tomographic imaging in large phantoms using gain-modulated ICCD camera"
,"Generalized Adjoint Sensitivities of the Coupled Frequency Domain Fluorescence Diffusion Equations"
,"Genomic mining for complex disease traits with 'Random Chemistry'"
,"Geometry of river networks I: Scaling, fluctuations, and deviations"
,"Geometry of river networks II: Distributions of component size and number"
,"Geometry of river networks III: Characterization of component connectivity"
,"Guarding Against Premature Convergence while Accelerating Evolutionary Search"
,"Happiness and the Patterns of Life: A Study of Geolocated Tweets"
,"Heterothermia in foraging workers and drones of the bumblebee Bombus terricola"
,"Hill-climbing through 'random chemistry' for detecting epistasis"
,"How Famous is a Scientist? -- Famous to Those Who Know Us"
,"How Robot Morphology and Training Order Affect the Learning of Multiple Behaviors"
,"Identity and search in social networks"
,"Impact of Online Empirical Model Correction on Nonlinear Error Growth"
,"Improving Genetic Programming Based Symbolic Regression Using Deterministic Machine Learning"
,"Improving Uniformity of Solution Spacing in Biobjective Evolution"
,"Influentials, networks, and public opinion formation"
,"Information cascades on degree-correlated random networks"
,"Information exchange and the robustness of organizational networks"
,"Innocent Until Proven Guilty: Reducing Robot Shaping From Polynomial to Linear Time"
,"Invasiveness in plant communities with feedbacks"
,"Investigating Bimodal Clustering in Human Mobility"
,"Investigating Morphological Symmetry and Locomotive Efficiency using Virtual Embodied Evolution"
,"Is coaching experience associated with effective use of timeouts in basketball?"
,"Iterative Product Engineering: Evolutionary Robot Design"
,"Kleinberg navigation on anisotropic lattices"
,"Learning Comparative User Models for Accelerating Human-Computer Collaborative Search"
,"Limited Imitation Contagion on Random Networks: Chaos, Universality, and Unpredictability"
,"Link communities reveal multiscale complexity in networks"
,"Making Evolution an Offer It Can't Refuse: Morphology and the Extradimensional Bypass"
,"Making Forecasts for Chaotic Physical Processes"
,"Measurement and Model Error Assessment of a Single Pixel, Frequency Domain Photon Migration Apparatu"
,"Measuring the Happiness of Large-Scale Written Expression: Songs, Blogs, and Presidents"
,"Mesoscopic structure and social aspects of human mobility"
,"Minimization of Cost, Sediment Load, and Sensitivity to Climate Change in a Watershed Management App"
,"Minimizing mismatch of forward model and experimental measurements for fluorescence-enhanced optical"
,"Modeling Hierarchy using Symbolic Regression"
,"Modeling social interactions: Identification, empirical methods and policy implications"
,"More Voices than Ever? Quantifying Bias in Social and Mainstream Media"
,"Morphological and Environmental Scaffolding Synergize when Evolving Robot Controllers"
,"Morphological change in machines accelerates the evolution of robust behavior"
,"National Survey Respondents as Agents in a Model of Plug-In Hybrid Electric Vehicle Adoption"
,"Natural emergence of clusters and bursts in network evolution"
,"Network Structure Revealed by Short Cycles"
,"New Robotics: Design Principles for Intelligent Systems"
,"Noise pre-filtering techniques in fluorescence-enhanced optical tomography"
,"Nonlinear System Identification Using Coevolution of Models and Tests"
,"Nutrient enrichment alters dynamics in experimental plant populations"
,"On the Google-Fame of Scientists and Other Populations"
,"On the optimal form of branching supply and collection networks"
,"On the Relationship Between Environmental and Mechanical Complexity in Evolved Robots"
,"On the Relationship Between Environmental and Morphological Complexity in Evolved Robots"
,"Once More Unto the Breach: Co-evolving a Robot and its Simulator"
,"Optimal 3-D geophysical tomography"
,"Packing-limited growth"
,"Packing-limited growth of irregular objects"
,"Pair Approximations of Takeover Dynamics in Regular Population Structures"
,"Parallel groundwater computations using PVM"
,"Parameter estimation with data-driven zonation"
,"Parameterizing Pair Approximations for Takeover Dynamics"
,"Phase transition in the rich-get-richer mechanism due to finite-size effects"
,"Photometric Separation of Physical Properties of Stars"
,"Portraits of Complex Networks"
,"Positivity of the English language"
,"Predicting &#64258;ow reversals in chaotic natural convection using data assimilation"
,"Quantifying Information Flow During Emergencies"
,"Reducing Collective Behavioural Complexity through Heterogeneity"
,"Reinventing the Wheel: Experiments in Evolutionary Geometry"
,"Relating Neural Network Performance to Morphological Differences in Embodied Agents"
,"Repeated Structure and Dissociation of Genotypic and Phenotypic Complexity in Artificial Ontogeny"
,"Resilient Machines Through Continuous Self-Modeling"
,"Robustness and modular structure in networks"
,"Robustness of skeletons and salient features in networks"
,"Scaling, universality, and geomorphology"
,"Searching the clinical fitness landscape"
,"Self discovery enables robot social cognition: Are you my teacher?"
,"Sensitivity of Self-Organized Speciation to Long Distance Dispersal"
,"Shadow networks: Discovering hidden nodes with models of information flow"
,"Simultaneous estimation of transmissivity values and zonation"
,"Size and caste in temperature regulation by bumblebees"
,"Social Networks in Emergency Response"
,"Spatio-temporal community dynamics induced by frequency dependent interactions"
,"Speciation by Self-Organizing Barriers to Gene Flow in Simulated Populations with Localized Mating"
,"Spontaneous Evolution of Structural Modularity in Robot Neural Network Controllers"
,"Standing Swells Surveyed Showing Surprisingly Stable Solutions for the Lorenz '96 Model"
,"Stochastic optical tomography using beta-distributed parameters to model absorption, lifetime, and q"
,"Synthesizing Physically-Realistic Environmental Models from Robot Exploration"
,"Takeover Times on Scale-Free Topologies"
,"Team Learning for Healthcare Quality Improvement"
,"Team Structure and Quality Improvement in Collaborative Environments"
,"Temporal patterns of happiness and information in a global social network: Hedonometrics and Twitter"
,"Testing the metabolic theory of ecology"
,"The benefits of vectorization in optical tomography"
,"The Geography of Happiness: Connecting Twitter sentiment and expression, demographics, and objective"
,"The Impact of Uncertainty in a Blood Coagulation Model"
,"The influence of Scaling and Assortativity on Takeover Times in Scale-Free Topologies"
,"The influence of the refractive index-mismatch at the boundaries measured in fluorescence-enhanced f"
,"The interplay of chaos between the terrestrial and giant planets"
,"The Legion System: A Novel Approach to Evolving Heterogeneity for Collective Problem Solving"
,"The pit-trapping foraging strategy of the ant lion, Myrmeleon immaculatus"
,"The Road Less Travelled: Morphology in the Optimization of Biped Robot Locomotion"
,"The role of caretakers in disease dynamics"
,"The Utility of Evolving Simulated Robot Morphology Increases with Task Complexity for Object Manipul"
,"Three Dimensional Stochastic Reconfiguration of Modular Robots"
,"Three-dimensional fluorescence absorption imaging with domain decomposition"
,"Three-dimensional fluorescence lifetime tomography"
,"Three-dimensional, Bayesian image reconstruction from sparse and noisy data sets: Near-infrared fluo"
,"Twitter reciprocal reply networks exhibit assortativity with respect to happiness"
,"Underdominance, Multiscale Interactions, and Self-Organizing Barriers to Gene Flow"
,"Unified view of scaling laws for river networks"
,"Universal behavior in a generalized model of contagion"
,"Up-scaling Agent-Based Discrete-Choice Transportation Models using Artificial Neural Networks"
,"Use of an artificial neural network to predict head injury outcome"
,"Using Pair Approximations to Predict Takeover Dynamics in Spatially Structured Populations"
,"Using Singular Value Decomposition to Parameterize State-Dependent Model Errors"
,"Very Large Scale ReliefF for Genome-Wide Association Analysis"
,"Visualizing relations using the 'Observable Representation'"
,"Why your mates shouldn’t date"
"Artificial Ontogeny","Evolving Modular Genetic Regulatory Networks"
"Artificial Ontogeny","New Robotics: Design Principles for Intelligent Systems"
"Artificial Ontogeny","Repeated Structure and Dissociation of Genotypic and Phenotypic Complexity in Artificial Ontogeny"
"Cascading failure, networks, critical transitions ","A Random Chemistry Algorithm for Identifying Collections of Multiple Contingencies that Initiate Cas"
"Cascading failure, networks, critical transitions ","Cascading failures in power grids"
"Cascading failure, networks, critical transitions ","Cascading Failures: Extreme Properties of Large Blackouts in the Electric Grid"
"Cascading failure, networks, critical transitions ","Comparing the Topological and Electrical Structure of the North American Electric Power Infrastructu"
"Cascading failure, networks, critical transitions ","Controlling Cascading Failures with Cooperative Autonomous Agents"
"Cascading failure, networks, critical transitions ","Do topological models provide good information about vulnerability in electric power networks?"
"Cascading failure, networks, critical transitions ","Dual Graph and Random Chemistry methods for Cascading Failure Analysis"
"Cascading failure, networks, critical transitions ","Predicting Critical Transitions from Time Series Synchrophasor Data"
"Cascading failure, networks, critical transitions ","Reciprocally Altruistic Agents for the Mitigation of Cascading Failures in Power Grids"
"Cascading failure, networks, critical transitions ","Risk Assessment of Cascading Outages: Methodologies and Challenges"
"Electric vehicles and their impacts on electric po","Estimating the Impact of Electric Vehicle Charging on Electricity Costs Given Electricity Sector Car"
"Electric vehicles and their impacts on electric po","Estimating the Impact of Electric Vehicle Smart Charging on Distribution Transformer Aging"
"Electric vehicles and their impacts on electric po","Estimating the impact of fuel-switching between liquid fuels and electricity under electricity-secto"
"Electric vehicles and their impacts on electric po","Modeling the Impact of Electric Vehicle Charging on Heat Transfer around Underground Cables"
"Electric vehicles and their impacts on electric po","Packetized Plug-in Electric Vehicle Charge Management"
"Electric vehicles and their impacts on electric po","Travel Demand and Charging Capacity for Electric Vehicles in Rural States: A Vermont Case Study"
"Estimation-Exploration Algorithm","Accelerating Self-Modeling in Cooperative Robot Teams"
"Estimation-Exploration Algorithm","Action-Selection and Crossover Strategies for Self-Modeling Machines"
"Estimation-Exploration Algorithm","Active Coevolutionary Learning of Deterministic Finite Automata"
"Estimation-Exploration Algorithm","An Exploration-Estimation Algorithm for Synthesis and Analysis of Engineering Systems Using Minimal "
"Estimation-Exploration Algorithm","Automated Damage Diagnosis and Recovery for Remote Robotics"
"Estimation-Exploration Algorithm","Automated reverse engineering of nonlinear dynamical systems"
"Estimation-Exploration Algorithm","Automated Robot Function Recovery after Unanticipated Failure or Environmental Change using a Minimu"
"Estimation-Exploration Algorithm","Automated Synthesis of Body Schema using Multiple Sensor Modalities"
"Estimation-Exploration Algorithm","Automating Genetic Network Inference with Minimal Physical Experimentation Using Coevolution"
"Estimation-Exploration Algorithm","Co-evolutionary algorithm for structural damage identification using minimal physical testing"
"Estimation-Exploration Algorithm","Co-evolutionary Variance Can Guide Physical Testing in Evolutionary System Identification"
"Estimation-Exploration Algorithm","Crowdsourcing Novel Childhood Predictors of Adult Obesity"
"Estimation-Exploration Algorithm","Exploiting Multiple Robots to Accelerate Self-Modeling"
"Estimation-Exploration Algorithm","Morphological change in machines accelerates the evolution of robust behavior"
"Estimation-Exploration Algorithm","Nonlinear System Identification Using Coevolution of Models and Tests"
"Estimation-Exploration Algorithm","Once More Unto the Breach: Co-evolving a Robot and its Simulator"
"Estimation-Exploration Algorithm","Resilient Machines Through Continuous Self-Modeling"
"Estimation-Exploration Algorithm","Self discovery enables robot social cognition: Are you my teacher?"
"Estimation-Exploration Algorithm","Synthesizing Physically-Realistic Environmental Models from Robot Exploration"
"Grid integration of renewable energy sources","A Review Of Large-scale Renewable Electricity Integration Studies"
"Grid integration of renewable energy sources","Comparing empirical and simulated wind speed and power data"
"Grid integration of renewable energy sources","Estimating Regulation Reserve Requirements As Wind Generation Increases - A Problem Definition"
"Legion System","Coevolutionary Dynamics of a Multi-Population Genetic Programming System"
"Legion System","Reducing Collective Behavioural Complexity through Heterogeneity"
"Legion System","The Legion System: A Novel Approach to Evolving Heterogeneity for Collective Problem Solving"
"Shadow Networks","Shadow networks: Discovering hidden nodes with models of information flow"
